Ncpu,Nsim,Nchunk,Lpt,Tsim
32,3,16384,500000,77.53
32,3,32768,500000,76.05
32,3,65536,500000,78.31
32,3,131072,500000,78.51
32,3,262144,500000,78.64
32,4,256,1000,79.08
32,4,1024,1000,79.46
32,4,4096,1000,78.19
32,4,16384,1000,78.26
32,4,32768,1000,78.4
32,4,65536,1000,77.97
32,4,131072,1000,78.18
32,4,262144,1000,77.69
32,4,256,10000,77.49
32,4,1024,10000,78.48
32,4,4096,10000,76.59
32,4,16384,10000,77.79
32,4,32768,10000,76.54
32,4,65536,10000,77.37
32,4,131072,10000,76.42
32,4,262144,10000,77.18
32,4,256,100000,78.99
32,4,1024,100000,76.25
32,4,4096,100000,77.89
32,4,16384,100000,78.23
32,4,32768,100000,76.97
32,4,65536,100000,77.22
32,4,131072,100000,77.26
32,4,262144,100000,76.59
32,4,256,200000,78.5
32,4,1024,200000,78.23
32,4,4096,200000,78.87
32,4,16384,200000,78.2
32,4,32768,200000,77.09
32,4,65536,200000,77.3
32,4,131072,200000,77.89
32,4,262144,200000,77.46
32,4,256,300000,79.64
32,4,1024,300000,79.53
32,4,4096,300000,80.57
32,4,16384,300000,79.31
32,4,32768,300000,79.23
32,4,65536,300000,79.52
32,4,131072,300000,79
32,4,262144,300000,79.38
32,4,256,400000,82.13
32,4,1024,400000,81.13
32,4,4096,400000,80.67
32,4,16384,400000,80
32,4,32768,400000,79.93
32,4,65536,400000,80.48
32,4,131072,400000,79.33
32,4,262144,400000,80.22
32,4,256,500000,82.47
32,4,1024,500000,83.21
32,4,4096,500000,81.78
32,4,16384,500000,81.55
32,4,32768,500000,79.7
32,4,65536,500000,81.4
32,4,131072,500000,81.51
32,4,262144,500000,80.74
32,5,256,1000,81.28
32,5,1024,1000,80.47
32,5,4096,1000,82.81
32,5,16384,1000,81.36
32,5,32768,1000,82.97
32,5,65536,1000,80.81
32,5,131072,1000,79.69
32,5,262144,1000,82.18
32,5,256,10000,79.84
32,5,1024,10000,79.96
32,5,4096,10000,79.43
32,5,16384,10000,80.39
32,5,32768,10000,79.37
